Flat profile:

Each sample counts as 0.001 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    288.09     0.00      623     0.00     0.00  bool __gnu_cxx::operator< <DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&)
  0.00    288.09     0.00      527     0.00     0.00  void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00      527     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00      445     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::__normal_iterator(DIR_ENTRY* const&)
  0.00    288.09     0.00      305     0.00     0.00  PMC_LIST::down(unsigned int&, unsigned int&)
  0.00    288.09     0.00      206     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::operator+(int const&) const
  0.00    288.09     0.00      154     0.00     0.00  DIR_ENTRY::operator==(char const*) const
  0.00    288.09     0.00      111     0.00     0.00  std::_Vector_base<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_get_Tp_allocator()
  0.00    288.09     0.00      102     0.00     0.00  std::__niter_base<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, true>::__b(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >::operator-(int const&) const
  0.00    288.09     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, DIR_ENTRY>(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, DIR_ENTRY)
  0.00    288.09     0.00       96     0.00     0.00  DIR_ENTRY const& std::__median<DIR_ENTRY>(DIR_ENTRY const&, DIR_ENTRY const&, DIR_ENTRY const&)
  0.00    288.09     0.00       69     0.00     0.00  void std::_Destroy<DIR_ENTRY*, DIR_ENTRY>(DIR_ENTRY*, DIR_ENTRY*, std::allocator<DIR_ENTRY>&)
  0.00    288.09     0.00       65     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::end()
  0.00    288.09     0.00       58     0.00     0.00  get_ext(char const*)
  0.00    288.09     0.00       50     0.00     0.00  PMC_LIST::page_up(unsigned int&, unsigned int&)
  0.00    288.09     0.00       45     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_erase_at_end(DIR_ENTRY*)
  0.00    288.09     0.00       45     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::clear()
  0.00    288.09     0.00       44     0.00     0.00  bool __gnu_cxx::operator==<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > const&)
  0.00    288.09     0.00       44     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::begin()
  0.00    288.09     0.00       44     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       44     0.00     0.00  void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       44     0.00     0.00  std::__lg(int)
  0.00    288.09     0.00       44     0.00     0.01  void std::sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       43     0.00     0.00  std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::operator[](unsigned int)
  0.00    288.09     0.00       42     0.00     0.00  std::_Vector_base<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_get_Tp_allocator() const
  0.00    288.09     0.00       42     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::max_size() const
  0.00    288.09     0.00       42     0.00     0.00  DIR_ENTRY* std::__uninitialized_copy<false>::uninitialized_copy<DIR_ENTRY*, DIR_ENTRY*>(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*)
  0.00    288.09     0.00       42     0.00     0.00  DIR_ENTRY* std::uninitialized_copy<DIR_ENTRY*, DIR_ENTRY*>(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*)
  0.00    288.09     0.00       42     0.00     0.00  DIR_ENTRY* std::__uninitialized_copy_a<DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY>(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*, std::allocator<DIR_ENTRY>&)
  0.00    288.09     0.00       42     0.00     0.00  DIR_ENTRY* std::__uninitialized_move_a<DIR_ENTRY*, DIR_ENTRY*, std::allocator<DIR_ENTRY> >(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*, std::allocator<DIR_ENTRY>&)
  0.00    288.09     0.00       39     0.00     0.00  PMC_LIST::page_down(unsigned int&, unsigned int&)
  0.00    288.09     0.00       37     0.00     0.00  next_submenu(int)
  0.00    288.09     0.00       34     0.00     0.00  DIR_ENTRY* std::__copy_move_backward<false, false, std::random_access_iterator_tag>::__copy_move_b<DIR_ENTRY*, DIR_ENTRY*>(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*)
  0.00    288.09     0.00       34     0.00     0.00  __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > std::copy_backward<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       34     0.00     0.00  DIR_ENTRY* std::__copy_move_backward_a<false, DIR_ENTRY*, DIR_ENTRY*>(DIR_ENTRY*, DIR_ENTRY*, DIR_ENTRY*)
  0.00    288.09     0.00       26     0.00     0.00  PMC_LIST::select_item(unsigned int, unsigned int&, unsigned int&)
  0.00    288.09     0.00       25     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00    288.09     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<DIR_ENTRY>::allocate(unsigned int, void const*)
  0.00    288.09     0.00       21     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_check_len(unsigned int, char const*) const
  0.00    288.09     0.00       21     0.00     0.00  std::_Vector_base<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_allocate(unsigned int)
  0.00    288.09     0.00       21     0.00     0.00  std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >::_M_insert_aux(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, DIR_ENTRY const&)
  0.00    288.09     0.00       20     0.00     5.99  show_nowplaying(char const*, char const*)
  0.00    288.09     0.00       19     0.00     0.01  go_UpOneDir(std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> >&, PMC_LIST&, unsigned int&, unsigned int&)
  0.00    288.09     0.00       18     0.00     0.00  int pmc_max<int>(int, int)
  0.00    288.09     0.00       17     0.00     0.00  Pmc_ImageTile::Pmc_ImageTile()
  0.00    288.09     0.00       16     0.00     0.01  void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > > >(__gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >, __gnu_cxx::__normal_iterator<DIR_ENTRY*, std::vector<DIR_ENTRY, std::allocator<DIR_ENTRY> > >)
  0.00    288.09     0.00       14     0.00     0.00  get_nextpow2(unsigned int)
  0.00    288.09     0.00       14     0.00     0.17  PMC_PLAYER::open(char const*, char const*)
  0.00    288.09     0.00       14     0.00     0.06  AUDIO_DECODERS::open(AVCodecContext*, char const*, AVIOContext*, int)
  0.00    288.09     0.00       13     0.00     0.00  Pmc_Ctrl::flush(bool)
  0.00    288.09     0.00       13     0.00     0.00  std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_get_Tp_allocator()
  0.00    288.09     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<NEEDED_EXT>::max_size() const
  0.00    288.09     0.00       11     0.00     0.01  int pmc_minmax<int>(int, int, int)
  0.00    288.09     0.00       11     0.00     0.00  prev_submenu(int)
  0.00    288.09     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<NEEDED_EXT*, std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> > >::base() const
  0.00    288.09     0.00        8     0.00     0.00  std::_Vector_base<NEEDED_EXT, std::allocator<NEEDED_EXT> >::_M_get_Tp_allocator() const
  0.00    288.09     0.00        8     0.00     0.00  std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::max_size() const
  0.00    288.09     0.00        8     0.00     0.01  NEEDED_EXT* std::__uninitialized_copy<false>::uninitialized_copy<NEEDED_EXT*, NEEDED_EXT*>(NEEDED_EXT*, NEEDED_EXT*, NEEDED_EXT*)
  0.00    288.09     0.00        8     0.00     0.01  NEEDED_EXT* std::uninitialized_copy<NEEDED_EXT*, NEEDED_EXT*>(NEEDED_EXT*, NEEDED_EXT*, NEEDED_EXT*)
  0.00    288.09     0.00        8     0.00     0.01  NEEDED_EXT* std::__uninitialized_copy_a<NEEDED_EXT*, NEEDED_EXT*, NEEDED_EXT>(NEEDED_EXT*, NEEDED_EXT*, NEEDED_EXT*, std::allocator<NEEDED_EXT>&)
  0.00    288.09     0.00        8     0.00     0.01  NEEDED_EXT* std::__uninitialized_move_a<NEEDED_EXT*, NEEDED_EXT*, std::allocator<NEEDED_EXT> >(NEEDED_EXT*, NEEDED_EXT*, NEEDED_EXT*, std::allocator<NEEDED_EXT>&)
  0.00    288.09     0.00        7     0.00     0.15  global constructors keyed to ctrl
  0.00    288.09     0.00        7     0.00     0.01  Pmc_Image::swizzle()
  0.00    288.09     0.00        7     0.00     0.01  Pmc_Image::Pmc_Image(int, int, unsigned int)
  0.00    288.09     0.00        7     0.00     0.00  Pmc_Image::~Pmc_Image()
  0.00    288.09     0.00        7     0.00     0.01  __gnu_cxx::new_allocator<NEEDED_EXT>::construct(NEEDED_EXT*, NEEDED_EXT const&)
  0.00    288.09     0.00        7     0.00     0.07  std::vector<NEEDED_EXT, std::allocator<NEEDED_EXT> >::push_back(NEEDED_EXT const&)
